"","HMDB_ID","NAME","DESCRIPTION","LINK"
"54","HMDB0000127","D-Glucuronic acid","D-Glucuronic acid, also known as glcaa or D-glucuronate, belongs to the class of organic compounds known as glucuronic acid derivatives. Glucuronic acid derivatives are compounds containing a glucuronic acid moiety (or a derivative), which consists of a glucose moiety with the C6 carbon oxidized to a carboxylic acid. D-Glucuronic acid exists as a solid, soluble (in water), and a weakly acidic compound (based on its pKa). D-Glucuronic acid has been found in human liver and kidney tissues, and has also been detected in multiple biofluids, such as feces, urine, and blood. Within the cell, D-glucuronic acid is primarily located in the cytoplasm, lysosome and endoplasmic reticulum. D-Glucuronic acid can be biosynthesized from isovalerylglucuronide through the action of the enzyme Beta-glucuronidase. In humans, D-glucuronic acid is involved in the inositol metabolism pathway and the starch and sucrose metabolism pathway. D-Glucuronic acid is also involved in several metabolic disorders, some of which include the glycogenosis, type iii. cori disease, debrancher glycogenosis pathway, sucrase-isomaltase deficiency, the mucopolysaccharidosis vi. sly syndrome pathway, and the glycogenosis, type vi. hers disease pathway.","http://www.hmdb.ca/metabolites/HMDB0000127"
"55","HMDB00128","Guanidoacetic acid","Guanidoacetic acid, also known as guanidinoacetate or N-amidinoglycine, belongs to the class of organic compounds known as alpha amino acids and derivatives. These are amino acids in which the amino group is attached to the carbon atom immediately adjacent to the carboxylate group (alpha carbon), or a derivative thereof. Guanidoacetic acid is slightly soluble (in water) and a weakly acidic compound (based on its pKa). Guanidoacetic acid has been found in human brain, liver and kidney tissues, and has also been primarily detected in feces, urine, blood, and cerebrospinal fluid. Within the cell, guanidoacetic acid is primarily located in the cytoplasm and mitochondria. Guanidoacetic acid participates in a number of enzymatic reactions. In particular, Guanidoacetic acid and orotidylic acid can be biosynthesized from glycine and L-arginine through the action of the enzyme glycine amidinotransferase, mitochondrial. Furthermore, Guanidoacetic acid and S-adenosylhomocysteine can be converted into S-adenosylmethionine and creatine through the action of the enzyme guanidinoacetate N-methyltransferase. Furthermore, Ornithine and guanidoacetic acid can be biosynthesized from L-arginine and glycine through the action of the enzyme glycine amidinotransferase, mitochondrial. Finally, S-Adenosylmethionine and guanidoacetic acid can be converted into S-adenosylhomocysteine and creatine through its interaction with the enzyme guanidinoacetate N-methyltransferase. In humans, guanidoacetic acid is involved in the glycine and serine metabolism pathway and the arginine and proline metabolism pathway. Guanidoacetic acid is also involved in several metabolic disorders, some of which include guanidinoacetate methyltransferase deficiency (gamt deficiency), ornithine aminotransferase deficiency (oat deficiency), the hyperprolinemia type I pathway, and dihydropyrimidine dehydrogenase deficiency (DHPD). Outside of the human body, guanidoacetic acid can be found in apple and loquat. This makes guanidoacetic acid a potential biomarker for the consumption of these food products. Guanidoacetic acid is a potentially toxic compound.","http://www.hmdb.ca/metabolites/HMDB0000128"
"56","HMDB0000128","Guanidoacetic acid","Guanidoacetic acid, also known as guanidinoacetate or N-amidinoglycine, belongs to the class of organic compounds known as alpha amino acids and derivatives. These are amino acids in which the amino group is attached to the carbon atom immediately adjacent to the carboxylate group (alpha carbon), or a derivative thereof. Guanidoacetic acid is slightly soluble (in water) and a weakly acidic compound (based on its pKa). Guanidoacetic acid has been found in human brain, liver and kidney tissues, and has also been primarily detected in feces, urine, blood, and cerebrospinal fluid. Within the cell, guanidoacetic acid is primarily located in the cytoplasm and mitochondria. Guanidoacetic acid participates in a number of enzymatic reactions. In particular, Guanidoacetic acid and orotidylic acid can be biosynthesized from glycine and L-arginine through the action of the enzyme glycine amidinotransferase, mitochondrial. Furthermore, Guanidoacetic acid and S-adenosylhomocysteine can be converted into S-adenosylmethionine and creatine through the action of the enzyme guanidinoacetate N-methyltransferase. Furthermore, Ornithine and guanidoacetic acid can be biosynthesized from L-arginine and glycine through the action of the enzyme glycine amidinotransferase, mitochondrial. Finally, S-Adenosylmethionine and guanidoacetic acid can be converted into S-adenosylhomocysteine and creatine through its interaction with the enzyme guanidinoacetate N-methyltransferase. In humans, guanidoacetic acid is involved in the glycine and serine metabolism pathway and the arginine and proline metabolism pathway. Guanidoacetic acid is also involved in several metabolic disorders, some of which include guanidinoacetate methyltransferase deficiency (gamt deficiency), ornithine aminotransferase deficiency (oat deficiency), the hyperprolinemia type I pathway, and dihydropyrimidine dehydrogenase deficiency (DHPD). Outside of the human body, guanidoacetic acid can be found in apple and loquat. This makes guanidoacetic acid a potential biomarker for the consumption of these food products. Guanidoacetic acid is a potentially toxic compound.","http://www.hmdb.ca/metabolites/HMDB0000128"
"57","HMDB00133","Guanosine","Guanosine, also known as G or 2-amino-inosine, belongs to the class of organic compounds known as purine nucleosides. Purine nucleosides are compounds comprising a purine base attached to a ribosyl or deoxyribosyl moiety. Guanosine exists as a solid, soluble (in water), and a very weakly acidic compound (based on its pKa). Guanosine has been found in human prostate tissue, and has also been primarily detected in saliva, feces, urine, and blood. Within the cell, guanosine is primarily located in the mitochondria, lysosome and cytoplasm. Guanosine exists in all eukaryotes, ranging from yeast to humans. Guanosine participates in a number of enzymatic reactions. In particular, Guanosine can be biosynthesized from guanosine monophosphate; which is mediated by the enzyme cytosolic purine 5'-nucleotidase. In addition, Guanosine can be converted into guanine and ribose 1-phosphate through the action of the enzyme purine nucleoside phosphorylase. In humans, guanosine is involved in the purine metabolism pathway, the azathioprine action pathway, the thioguanine action pathway, and the mercaptopurine action pathway. Guanosine is also involved in several metabolic disorders, some of which include adenylosuccinate lyase deficiency, the gout or kelley-seegmiller syndrome pathway, the AICA-ribosiduria pathway, and the xanthinuria type I pathway.","http://www.hmdb.ca/metabolites/HMDB0000133"
"58","HMDB0000133","Guanosine","Guanosine, also known as G or 2-amino-inosine, belongs to the class of organic compounds known as purine nucleosides. Purine nucleosides are compounds comprising a purine base attached to a ribosyl or deoxyribosyl moiety. Guanosine exists as a solid, soluble (in water), and a very weakly acidic compound (based on its pKa). Guanosine has been found in human prostate tissue, and has also been primarily detected in saliva, feces, urine, and blood. Within the cell, guanosine is primarily located in the mitochondria, lysosome and cytoplasm. Guanosine exists in all eukaryotes, ranging from yeast to humans. Guanosine participates in a number of enzymatic reactions. In particular, Guanosine can be biosynthesized from guanosine monophosphate; which is mediated by the enzyme cytosolic purine 5'-nucleotidase. In addition, Guanosine can be converted into guanine and ribose 1-phosphate through the action of the enzyme purine nucleoside phosphorylase. In humans, guanosine is involved in the purine metabolism pathway, the azathioprine action pathway, the thioguanine action pathway, and the mercaptopurine action pathway. Guanosine is also involved in several metabolic disorders, some of which include adenylosuccinate lyase deficiency, the gout or kelley-seegmiller syndrome pathway, the AICA-ribosiduria pathway, and the xanthinuria type I pathway.","http://www.hmdb.ca/metabolites/HMDB0000133"
"59","HMDB00134","Fumaric acid","Fumaric acid, also known as fumarate or E297, belongs to the class of organic compounds known as dicarboxylic acids and derivatives. These are organic compounds containing exactly two carboxylic acid groups. Fumaric acid exists as a solid, soluble (in water), and a weakly acidic compound (based on its pKa). Fumaric acid has been found in human prostate tissue, and has also been detected in most biofluids, including cerebrospinal fluid, breast milk, urine, and blood. Within the cell, fumaric acid is primarily located in the mitochondria and cytoplasm. Fumaric acid exists in all eukaryotes, ranging from yeast to humans. Fumaric acid participates in a number of enzymatic reactions. In particular, Fumaric acid can be biosynthesized from L-malic acid; which is mediated by the enzyme fumarate hydratase, mitochondrial. Furthermore, Fumaric acid can be biosynthesized from succinic acid through the action of the enzyme succinate dehydrogenase. Furthermore, Fumaric acid and aicar can be biosynthesized from saicar through its interaction with the enzyme adenylosuccinate lyase. Finally, Fumaric acid and adenosine monophosphate can be biosynthesized from adenylsuccinic acid; which is mediated by the enzyme adenylosuccinate lyase. In humans, fumaric acid is involved in the aspartate metabolism pathway, the oncogenic action OF succinate pathway, the citric Acid cycle pathway, and the phenylalanine and tyrosine metabolism pathway. Fumaric acid is also involved in several metabolic disorders, some of which include prolidase deficiency (PD), the alkaptonuria pathway, the tyrosinemia type I pathway, and the hypoacetylaspartia pathway. Outside of the human body, fumaric acid can be found in a number of food items such as common buckwheat, common thyme, garden onion, and jicama. This makes fumaric acid a potential biomarker for the consumption of these food products. Fumaric acid is a potentially toxic compound.","http://www.hmdb.ca/metabolites/HMDB0000134"
"60","HMDB0000134","Fumaric acid","Fumaric acid, also known as fumarate or E297, belongs to the class of organic compounds known as dicarboxylic acids and derivatives. These are organic compounds containing exactly two carboxylic acid groups. Fumaric acid exists as a solid, soluble (in water), and a weakly acidic compound (based on its pKa). Fumaric acid has been found in human prostate tissue, and has also been detected in most biofluids, including cerebrospinal fluid, breast milk, urine, and blood. Within the cell, fumaric acid is primarily located in the mitochondria and cytoplasm. Fumaric acid exists in all eukaryotes, ranging from yeast to humans. Fumaric acid participates in a number of enzymatic reactions. In particular, Fumaric acid can be biosynthesized from L-malic acid; which is mediated by the enzyme fumarate hydratase, mitochondrial. Furthermore, Fumaric acid can be biosynthesized from succinic acid through the action of the enzyme succinate dehydrogenase. Furthermore, Fumaric acid and aicar can be biosynthesized from saicar through its interaction with the enzyme adenylosuccinate lyase. Finally, Fumaric acid and adenosine monophosphate can be biosynthesized from adenylsuccinic acid; which is mediated by the enzyme adenylosuccinate lyase. In humans, fumaric acid is involved in the aspartate metabolism pathway, the oncogenic action OF succinate pathway, the citric Acid cycle pathway, and the phenylalanine and tyrosine metabolism pathway. Fumaric acid is also involved in several metabolic disorders, some of which include prolidase deficiency (PD), the alkaptonuria pathway, the tyrosinemia type I pathway, and the hypoacetylaspartia pathway. Outside of the human body, fumaric acid can be found in a number of food items such as common buckwheat, common thyme, garden onion, and jicama. This makes fumaric acid a potential biomarker for the consumption of these food products. Fumaric acid is a potentially toxic compound.","http://www.hmdb.ca/metabolites/HMDB0000134"
"61","HMDB00138","Glycocholic acid","Glycocholic acid, also known as glycocholate or cholylglycine, belongs to the class of organic compounds known as glycinated bile acids and derivatives. Glycinated bile acids and derivatives are compounds with a structure characterized by the presence of a glycine linked to a bile acid skeleton. Glycocholic acid exists as a solid and is considered to be practically insoluble (in water) and relatively neutral. Glycocholic acid has been found in human hepatic tissue, prostate and liver tissues, and has also been detected in multiple biofluids, such as feces, urine, and blood. Within the cell, glycocholic acid is primarily located in the membrane (predicted from logP) and cytoplasm. Glycocholic acid participates in a number of enzymatic reactions. In particular, Chenodeoxycholic acid glycine conjugate and glycocholic acid can be biosynthesized from chenodeoxycholoyl-CoA and glycine; which is mediated by the enzyme bile acid-coa:amino acid N-acyltransferase. In addition, Glycocholic acid can be biosynthesized from choloyl-CoA and glycine; which is catalyzed by the enzyme bile acid-coa:amino acid N-acyltransferase. In humans, glycocholic acid is involved in congenital bile acid synthesis defect type II pathway, bile acid biosynthesis pathway, congenital bile acid synthesis defect type III pathway, and the cerebrotendinous xanthomatosis (CTX) pathway. Glycocholic acid is also involved in a few metabolic disorders, which include the familial hypercholanemia (fhca) pathway, 27-hydroxylase deficiency, and the zellweger syndrome pathway.","http://www.hmdb.ca/metabolites/HMDB0000138"
"62","HMDB0000138","Glycocholic acid","Glycocholic acid, also known as glycocholate or cholylglycine, belongs to the class of organic compounds known as glycinated bile acids and derivatives. Glycinated bile acids and derivatives are compounds with a structure characterized by the presence of a glycine linked to a bile acid skeleton. Glycocholic acid exists as a solid and is considered to be practically insoluble (in water) and relatively neutral. Glycocholic acid has been found in human hepatic tissue, prostate and liver tissues, and has also been detected in multiple biofluids, such as feces, urine, and blood. Within the cell, glycocholic acid is primarily located in the membrane (predicted from logP) and cytoplasm. Glycocholic acid participates in a number of enzymatic reactions. In particular, Chenodeoxycholic acid glycine conjugate and glycocholic acid can be biosynthesized from chenodeoxycholoyl-CoA and glycine; which is mediated by the enzyme bile acid-coa:amino acid N-acyltransferase. In addition, Glycocholic acid can be biosynthesized from choloyl-CoA and glycine; which is catalyzed by the enzyme bile acid-coa:amino acid N-acyltransferase. In humans, glycocholic acid is involved in congenital bile acid synthesis defect type II pathway, bile acid biosynthesis pathway, congenital bile acid synthesis defect type III pathway, and the cerebrotendinous xanthomatosis (CTX) pathway. Glycocholic acid is also involved in a few metabolic disorders, which include the familial hypercholanemia (fhca) pathway, 27-hydroxylase deficiency, and the zellweger syndrome pathway.","http://www.hmdb.ca/metabolites/HMDB0000138"
"63","HMDB00139","Glyceric acid","Glyceric acid, also known as glycerate or D-groa, belongs to the class of organic compounds known as sugar acids and derivatives. Sugar acids and derivatives are compounds containing a saccharide unit which bears a carboxylic acid group. Glyceric acid is soluble (in water) and a weakly acidic compound (based on its pKa). Glyceric acid has been found in human prostate tissue, and has also been detected in most biofluids, including cerebrospinal fluid, sweat, blood, and urine. Within the cell, glyceric acid is primarily located in the cytoplasm and mitochondria. Glyceric acid exists in all eukaryotes, ranging from yeast to humans. Glyceric acid participates in a number of enzymatic reactions. In particular, Glyceric acid can be converted into 3-phosphoglyceric acid; which is mediated by the enzyme glycerate kinase. In addition, Glyceric acid can be biosynthesized from 3-phosphoglyceric acid; which is mediated by the enzyme glycerate kinase. In humans, glyceric acid is involved in the glycine and serine metabolism pathway, the glycerolipid metabolism pathway, and the D-glyceric acidura pathway. Glyceric acid is also involved in several metabolic disorders, some of which include dimethylglycine dehydrogenase deficiency, the sarcosinemia pathway, the NON ketotic hyperglycinemia pathway, and glycerol kinase deficiency. Glyceric acid is a potentially toxic compound. Glyceric acid has been found to be associated with the diseases known as schizophrenia; glyceric acid has also been linked to several inborn metabolic disorders including d-glyceric acidemia, primary hyperoxaluria II, and primary hyperoxaluria.","http://www.hmdb.ca/metabolites/HMDB0000139"
"64","HMDB0000139","Glyceric acid","Glyceric acid, also known as glycerate or D-groa, belongs to the class of organic compounds known as sugar acids and derivatives. Sugar acids and derivatives are compounds containing a saccharide unit which bears a carboxylic acid group. Glyceric acid is soluble (in water) and a weakly acidic compound (based on its pKa). Glyceric acid has been found in human prostate tissue, and has also been detected in most biofluids, including cerebrospinal fluid, sweat, blood, and urine. Within the cell, glyceric acid is primarily located in the cytoplasm and mitochondria. Glyceric acid exists in all eukaryotes, ranging from yeast to humans. Glyceric acid participates in a number of enzymatic reactions. In particular, Glyceric acid can be converted into 3-phosphoglyceric acid; which is mediated by the enzyme glycerate kinase. In addition, Glyceric acid can be biosynthesized from 3-phosphoglyceric acid; which is mediated by the enzyme glycerate kinase. In humans, glyceric acid is involved in the glycine and serine metabolism pathway, the glycerolipid metabolism pathway, and the D-glyceric acidura pathway. Glyceric acid is also involved in several metabolic disorders, some of which include dimethylglycine dehydrogenase deficiency, the sarcosinemia pathway, the NON ketotic hyperglycinemia pathway, and glycerol kinase deficiency. Glyceric acid is a potentially toxic compound. Glyceric acid has been found to be associated with the diseases known as schizophrenia; glyceric acid has also been linked to several inborn metabolic disorders including d-glyceric acidemia, primary hyperoxaluria II, and primary hyperoxaluria.","http://www.hmdb.ca/metabolites/HMDB0000139"
"65","HMDB00148","L-Glutamic acid","L-Glutamic acid, also known as glutamate or acido glutamico, belongs to the class of organic compounds known as glutamic acid and derivatives. Glutamic acid and derivatives are compounds containing glutamic acid or a derivative thereof resulting from reaction of glutamic acid at the amino group or the carboxy group, or from the replacement of any hydrogen of glycine by a heteroatom. L-Glutamic acid exists as a solid, soluble (in water), and a moderately acidic compound (based on its pKa). L-Glutamic acid has been found throughout most human tissues, and has also been detected in most biofluids, including sweat, cerebrospinal fluid, feces, and saliva. L-Glutamic acid can be found anywhere throughout the human cell, such as in myelin sheath, lysosome, endoplasmic reticulum, and cytoplasm. L-Glutamic acid exists in all eukaryotes, ranging from yeast to humans. L-Glutamic acid participates in a number of enzymatic reactions. In particular, Allysine and L-glutamic acid can be biosynthesized from saccharopine; which is mediated by the enzyme Alpha-aminoadipic semialdehyde synthase, mitochondrial. Furthermore, Oxoadipic acid and L-glutamic acid can be biosynthesized from aminoadipic acid and oxoglutaric acid through the action of the enzyme kynurenine/alpha-aminoadipate aminotransferase, mitochondrial. Furthermore, L-Glutamic acid can be converted into L-glutamine; which is catalyzed by the enzyme glutamine synthetase. Furthermore, L-Glutamic acid can be biosynthesized from L-glutamine; which is mediated by the enzyme glutaminase liver isoform, mitochondrial. Furthermore, Alpha-Ketoisovaleric acid and L-glutamic acid can be biosynthesized from L-valine and oxoglutaric acid; which is mediated by the enzyme branched-chain-amino-acid aminotransferase, cytosolic. Finally, Ketoleucine and L-glutamic acid can be biosynthesized from L-leucine and oxoglutaric acid through its interaction with the enzyme branched-chain-amino-acid aminotransferase, cytosolic. In humans, L-glutamic acid is involved in the phenylalanine and tyrosine metabolism pathway, the aspartate metabolism pathway, the nicotinate and nicotinamide metabolism pathway, and the antrafenine action pathway. L-Glutamic acid is also involved in several metabolic disorders, some of which include the gout or kelley-seegmiller syndrome pathway, the glutaric aciduria type I pathway, dihydropyrimidine dehydrogenase deficiency (DHPD), and dopamine beta-hydroxylase deficiency. Outside of the human body, L-glutamic acid can be found in a number of food items such as common cabbage, bitter gourd, avocado, and italian oregano. This makes L-glutamic acid a potential biomarker for the consumption of these food products. L-Glutamic acid is a potentially toxic compound. L-Glutamic acid has been found to be associated with several diseases known as heart failure, anoxia, leukemia, and dicarboxylic aminoaciduria; l-glutamic acid has also been linked to the inborn metabolic disorders including n-acetylglutamate synthetase deficiency.","http://www.hmdb.ca/metabolites/HMDB0000148"
"66","HMDB0000148","L-Glutamic acid","L-Glutamic acid, also known as glutamate or acido glutamico, belongs to the class of organic compounds known as glutamic acid and derivatives. Glutamic acid and derivatives are compounds containing glutamic acid or a derivative thereof resulting from reaction of glutamic acid at the amino group or the carboxy group, or from the replacement of any hydrogen of glycine by a heteroatom. L-Glutamic acid exists as a solid, soluble (in water), and a moderately acidic compound (based on its pKa). L-Glutamic acid has been found throughout most human tissues, and has also been detected in most biofluids, including sweat, cerebrospinal fluid, feces, and saliva. L-Glutamic acid can be found anywhere throughout the human cell, such as in myelin sheath, lysosome, endoplasmic reticulum, and cytoplasm. L-Glutamic acid exists in all eukaryotes, ranging from yeast to humans. L-Glutamic acid participates in a number of enzymatic reactions. In particular, Allysine and L-glutamic acid can be biosynthesized from saccharopine; which is mediated by the enzyme Alpha-aminoadipic semialdehyde synthase, mitochondrial. Furthermore, Oxoadipic acid and L-glutamic acid can be biosynthesized from aminoadipic acid and oxoglutaric acid through the action of the enzyme kynurenine/alpha-aminoadipate aminotransferase, mitochondrial. Furthermore, L-Glutamic acid can be converted into L-glutamine; which is catalyzed by the enzyme glutamine synthetase. Furthermore, L-Glutamic acid can be biosynthesized from L-glutamine; which is mediated by the enzyme glutaminase liver isoform, mitochondrial. Furthermore, Alpha-Ketoisovaleric acid and L-glutamic acid can be biosynthesized from L-valine and oxoglutaric acid; which is mediated by the enzyme branched-chain-amino-acid aminotransferase, cytosolic. Finally, Ketoleucine and L-glutamic acid can be biosynthesized from L-leucine and oxoglutaric acid through its interaction with the enzyme branched-chain-amino-acid aminotransferase, cytosolic. In humans, L-glutamic acid is involved in the phenylalanine and tyrosine metabolism pathway, the aspartate metabolism pathway, the nicotinate and nicotinamide metabolism pathway, and the antrafenine action pathway. L-Glutamic acid is also involved in several metabolic disorders, some of which include the gout or kelley-seegmiller syndrome pathway, the glutaric aciduria type I pathway, dihydropyrimidine dehydrogenase deficiency (DHPD), and dopamine beta-hydroxylase deficiency. Outside of the human body, L-glutamic acid can be found in a number of food items such as common cabbage, bitter gourd, avocado, and italian oregano. This makes L-glutamic acid a potential biomarker for the consumption of these food products. L-Glutamic acid is a potentially toxic compound. L-Glutamic acid has been found to be associated with several diseases known as heart failure, anoxia, leukemia, and dicarboxylic aminoaciduria; l-glutamic acid has also been linked to the inborn metabolic disorders including n-acetylglutamate synthetase deficiency.","http://www.hmdb.ca/metabolites/HMDB0000148"
"67","HMDB00152","Gentisic acid","Gentisic acid, also known as gentisate or 2,5-dioxybenzoate, belongs to the class of organic compounds known as hydroxybenzoic acid derivatives. Hydroxybenzoic acid derivatives are compounds containing a hydroxybenzoic acid (or a derivative), which is a benzene ring bearing a carboxyl and a hydroxyl groups. Gentisic acid exists as a solid, soluble (in water), and a moderately acidic compound (based on its pKa). Gentisic acid has been detected in multiple biofluids, such as feces, urine, and blood. Within the cell, gentisic acid is primarily located in the cytoplasm. Gentisic acid participates in a number of enzymatic reactions. In particular, gentisic acid can be biosynthesized from benzoic acid. Gentisic acid is also a parent compound for other transformation products, including but not limited to, mygalin, 2,5-dihydroxybenzoic acid 5-O-beta-D-glucoside, and 2,5-dihydroxybenzoyl-CoA. Outside of the human body, gentisic acid can be found in a number of food items such as hyssop, common pea, nutmeg, and lemon balm. This makes gentisic acid a potential biomarker for the consumption of these food products.","http://www.hmdb.ca/metabolites/HMDB0000152"
"68","HMDB0000152","Gentisic acid","Gentisic acid, also known as gentisate or 2,5-dioxybenzoate, belongs to the class of organic compounds known as hydroxybenzoic acid derivatives. Hydroxybenzoic acid derivatives are compounds containing a hydroxybenzoic acid (or a derivative), which is a benzene ring bearing a carboxyl and a hydroxyl groups. Gentisic acid exists as a solid, soluble (in water), and a moderately acidic compound (based on its pKa). Gentisic acid has been detected in multiple biofluids, such as feces, urine, and blood. Within the cell, gentisic acid is primarily located in the cytoplasm. Gentisic acid participates in a number of enzymatic reactions. In particular, gentisic acid can be biosynthesized from benzoic acid. Gentisic acid is also a parent compound for other transformation products, including but not limited to, mygalin, 2,5-dihydroxybenzoic acid 5-O-beta-D-glucoside, and 2,5-dihydroxybenzoyl-CoA. Outside of the human body, gentisic acid can be found in a number of food items such as hyssop, common pea, nutmeg, and lemon balm. This makes gentisic acid a potential biomarker for the consumption of these food products.","http://www.hmdb.ca/metabolites/HMDB0000152"
"69","HMDB00156","L-Malic acid","(S)-Malic acid, also known as malate or L-apple acid, belongs to the class of organic compounds known as beta hydroxy acids and derivatives. Beta hydroxy acids and derivatives are compounds containing a carboxylic acid substituted with a hydroxyl group on the C3 carbon atom (S)-Malic acid exists as a solid, soluble (in water), and a weakly acidic compound (based on its pKa) (S)-Malic acid has been found in human prostate tissue, and has also been detected in most biofluids, including feces, urine, saliva, and blood. Within the cell, (S)-malic acid is primarily located in the cytoplasm and mitochondria (S)-Malic acid exists in all eukaryotes, ranging from yeast to humans. In humans, (S)-malic acid is involved in the oncogenic action OF 2-hydroxyglutarate pathway, the oncogenic action OF fumarate pathway, the congenital lactic acidosis pathway, and the citric Acid cycle pathway (S)-Malic acid is also involved in several metabolic disorders, some of which include pyruvate dehydrogenase deficiency (e3), the transfer OF acetyl groups into mitochondria pathway, the primary hyperoxaluria II, PH2 pathway, and pyruvate decarboxylase E1 component deficiency (pdhe1 deficiency).","http://www.hmdb.ca/metabolites/HMDB0000156"
"70","HMDB0000156","L-Malic acid","(S)-Malic acid, also known as malate or L-apple acid, belongs to the class of organic compounds known as beta hydroxy acids and derivatives. Beta hydroxy acids and derivatives are compounds containing a carboxylic acid substituted with a hydroxyl group on the C3 carbon atom (S)-Malic acid exists as a solid, soluble (in water), and a weakly acidic compound (based on its pKa) (S)-Malic acid has been found in human prostate tissue, and has also been detected in most biofluids, including feces, urine, saliva, and blood. Within the cell, (S)-malic acid is primarily located in the cytoplasm and mitochondria (S)-Malic acid exists in all eukaryotes, ranging from yeast to humans. In humans, (S)-malic acid is involved in the oncogenic action OF 2-hydroxyglutarate pathway, the oncogenic action OF fumarate pathway, the congenital lactic acidosis pathway, and the citric Acid cycle pathway (S)-Malic acid is also involved in several metabolic disorders, some of which include pyruvate dehydrogenase deficiency (e3), the transfer OF acetyl groups into mitochondria pathway, the primary hyperoxaluria II, PH2 pathway, and pyruvate decarboxylase E1 component deficiency (pdhe1 deficiency).","http://www.hmdb.ca/metabolites/HMDB0000156"
"71","HMDB00157","Hypoxanthine","Hypoxanthine, also known as purine-6-ol or Hyp, belongs to the class of organic compounds known as hypoxanthines. Hypoxanthines are compounds containing the purine derivative 1H-purin-6(9H)-one. Purine is a bicyclic aromatic compound made up of a pyrimidine ring fused to an imidazole ring. Hypoxanthine exists as a solid, soluble (in water), and a very weakly acidic compound (based on its pKa). Hypoxanthine has been found throughout most human tissues, and has also been detected in most biofluids, including urine, cerebrospinal fluid, feces, and saliva. Within the cell, hypoxanthine is primarily located in the cytoplasm, lysosome and peroxisome. Hypoxanthine exists in all eukaryotes, ranging from yeast to humans. Hypoxanthine participates in a number of enzymatic reactions. In particular, Hypoxanthine and ribose 1-phosphate can be biosynthesized from inosine through its interaction with the enzyme purine nucleoside phosphorylase. In addition, Hypoxanthine and phosphoribosyl pyrophosphate can be biosynthesized from inosinic acid; which is mediated by the enzyme hypoxanthine-guanine phosphoribosyltransferase. In humans, hypoxanthine is involved in the azathioprine action pathway, the mercaptopurine action pathway, the thioguanine action pathway, and the purine metabolism pathway. Hypoxanthine is also involved in several metabolic disorders, some of which include adenylosuccinate lyase deficiency, myoadenylate deaminase deficiency, adenine phosphoribosyltransferase deficiency (aprt), and molybdenum cofactor deficiency. Hypoxanthine is a potentially toxic compound.","http://www.hmdb.ca/metabolites/HMDB0000157"
"72","HMDB0000157","Hypoxanthine","Hypoxanthine, also known as purine-6-ol or Hyp, belongs to the class of organic compounds known as hypoxanthines. Hypoxanthines are compounds containing the purine derivative 1H-purin-6(9H)-one. Purine is a bicyclic aromatic compound made up of a pyrimidine ring fused to an imidazole ring. Hypoxanthine exists as a solid, soluble (in water), and a very weakly acidic compound (based on its pKa). Hypoxanthine has been found throughout most human tissues, and has also been detected in most biofluids, including urine, cerebrospinal fluid, feces, and saliva. Within the cell, hypoxanthine is primarily located in the cytoplasm, lysosome and peroxisome. Hypoxanthine exists in all eukaryotes, ranging from yeast to humans. Hypoxanthine participates in a number of enzymatic reactions. In particular, Hypoxanthine and ribose 1-phosphate can be biosynthesized from inosine through its interaction with the enzyme purine nucleoside phosphorylase. In addition, Hypoxanthine and phosphoribosyl pyrophosphate can be biosynthesized from inosinic acid; which is mediated by the enzyme hypoxanthine-guanine phosphoribosyltransferase. In humans, hypoxanthine is involved in the azathioprine action pathway, the mercaptopurine action pathway, the thioguanine action pathway, and the purine metabolism pathway. Hypoxanthine is also involved in several metabolic disorders, some of which include adenylosuccinate lyase deficiency, myoadenylate deaminase deficiency, adenine phosphoribosyltransferase deficiency (aprt), and molybdenum cofactor deficiency. Hypoxanthine is a potentially toxic compound.","http://www.hmdb.ca/metabolites/HMDB0000157"
"73","HMDB00158","L-Tyrosine","L-Tyrosine, also known as (S)-tyrosine or para tyrosine, belongs to the class of organic compounds known as tyrosine and derivatives. Tyrosine and derivatives are compounds containing tyrosine or a derivative thereof resulting from reaction of tyrosine at the amino group or the carboxy group, or from the replacement of any hydrogen of glycine by a heteroatom. L-Tyrosine exists as a solid, slightly soluble (in water), and a moderately acidic compound (based on its pKa). L-Tyrosine has been found throughout all human tissues, and has also been detected in most biofluids, including saliva, cerebrospinal fluid, feces, and blood. Within the cell, L-tyrosine is primarily located in the cytoplasm and mitochondria. L-Tyrosine exists in all eukaryotes, ranging from yeast to humans. L-Tyrosine participates in a number of enzymatic reactions. In particular, L-Tyrosine and oxoglutaric acid can be converted into 4-hydroxyphenylpyruvic acid and L-glutamic acid through the action of the enzyme tyrosine aminotransferase. Furthermore, L-Tyrosine can be converted into tyramine through the action of the enzyme aromatic-L-amino-acid decarboxylase. Finally, L-Tyrosine and sapropterin can be converted into L-dopa and dihydrobiopterin through the action of the enzyme tyrosine 3-monooxygenase. In humans, L-tyrosine is involved in thyroid hormone synthesis pathway, the tyrosine metabolism pathway, the phenylalanine and tyrosine metabolism pathway, and the disulfiram action pathway. L-Tyrosine is also involved in several metabolic disorders, some of which include the hawkinsinuria pathway, the tyrosinemia type I pathway, the tyrosinemia type 3 (tyro3) pathway, and aromatic L-aminoacid decarboxylase deficiency. L-Tyrosine is a potentially toxic compound.","http://www.hmdb.ca/metabolites/HMDB0000158"
